Platinium blond hair
Lightest blond hair
Light blond hair
Blond hair
Dark blond hair
Light brown hair
Brown hair
Dark brown hair
Black hair
Carrot hair
Ginger hair
Auburn hair
White hair
Silver hair
Dark gray hair
Auburn
Black
Blond
Blue black
Brunette
Burgundy
Butterscotch
Caramel
Chestnut
Golden
Gray
Grey
Honey
Jet black
Mahogany
Maroon
Platinum
Red
Redhead
Silver
Strawberry blond
White
multicolored hair
colored inner hair
gradient hair
rainbow hair
split-color hair
streaked hair
two-tone hair
colored tips
