aerial shot
Aerial View
angle from above
angle from below
birds-eye-view shot
body shot
cinematic shot
close-up shot
Dutch angle shot
establishing shot
extreme close-up shot
extreme wide shot
eye-level shot
Fashion shot
full body shot
Full length frame
full shot
ground level shot
high angle shot
High exposure
hip level shot
knee level shot
Landscape
Long exposure
long shot
low angle shot
medium close-up shot
medium shot
medium wide shot
modelshoot style shot
over the shoulder shot
overhead angle
Portrait
POV shot
professionally shot
profile
rear angle
selfie
selfie shot angle
Sharp focus
shot from behind
shot from side
shoulder-level shot
side view shot
side-profile
soft focus
Street level shot
Studio shot
top-down view
two shot angle
upper body shot
wide angle
wide shot
zoomed out
own hands together
arm support
arms behind back
paw pose
claw pose
pray hand on hip
arm at side
index finger raised
looking at viewer
looking up
looking down
looking at another
looking to the side
looking away
looking afar
looking ahead
looking up to
Dolly zoom
telephoto shot
