Agfa APX 400
Agfa Vista
Agfacolor Pro 200
Cinestill 800T
Ektar 100
Fine Grain
Fujicolor Pro
Fujifilm XT3
Ilford HP5 Plus B&W
Kodak ultra max 800
Kodak Vision3 IMAX
Kodak Vision3
Lomochrome color film
Muted low Grain
Porta 160
Prominent Grain
Tri-X 400 B&W
Velvia 100
